nome_identificador,nome_da_classe,score_relacao,nome_arquivo,media_top3_atributo
counting,estimator,0.29230878,,0.7369368473688761
estimate ,estimator,-1,,-1
 estimates,hmh,-1,,-1
for,hmh,-1,,0.7250979940096537
precision ,hmh,-1,,-1
 estimates,cardinality,-1,,-1
for,cardinality,0.24956134,,0.7250979940096537
precision ,cardinality,-1,,-1
 estimates,estimator,-1,,-1
for,estimator,0.32264146,,0.7250979940096537
precision ,estimator,-1,,-1
 biases,hmh,-1,,-1
for,hmh,-1,,0.7250979940096537
precision ,hmh,-1,,-1
 biases,cardinality,-1,,-1
for,cardinality,0.24956134,,0.7250979940096537
precision ,cardinality,-1,,-1
 biases,estimator,-1,,-1
for,estimator,0.32264146,,0.7250979940096537
precision ,estimator,-1,,-1
 m ,hmh,-1,,-1
 m ,cardinality,-1,,-1
 m ,estimator,-1,,-1
 denominator ,hmh,-1,,-1
 denominator ,cardinality,-1,,-1
 denominator ,estimator,-1,,-1
 numerator ,hmh,-1,,-1
 numerator ,cardinality,-1,,-1
 numerator ,estimator,-1,,-1
 indexes,hmh,-1,,-1
by,hmh,-1,,0.6496359507242838
difference ,hmh,-1,,-1
 indexes,cardinality,-1,,-1
by,cardinality,0.22665982,,0.6496359507242838
difference ,cardinality,-1,,-1
 indexes,estimator,-1,,-1
by,estimator,0.20395912,,0.6496359507242838
difference ,estimator,-1,,-1
 asc,hmh,-1,,-1
diff,hmh,-1,,0.6664726138114929
iter ,hmh,-1,,-1
 asc,cardinality,-1,,-1
diff,cardinality,0.21038432,,0.6664726138114929
iter ,cardinality,-1,,-1
 asc,estimator,-1,,-1
diff,estimator,0.25721556,,0.6664726138114929
iter ,estimator,-1,,-1
 min,hmh,-1,,-1
diff ,hmh,-1,,-1
 min,cardinality,-1,,-1
diff ,cardinality,-1,,-1
 min,estimator,-1,,-1
diff ,estimator,-1,,-1
 second,hmh,-1,,-1
smallest,hmh,-1,,0.7913682262102762
diff ,hmh,-1,,-1
 second,cardinality,-1,,-1
smallest,cardinality,0.3995149,,0.7913682262102762
diff ,cardinality,-1,,-1
 second,estimator,-1,,-1
smallest,estimator,0.2619835,,0.7913682262102762
diff ,estimator,-1,,-1
 smallest,hmh,-1,,-1
diff,hmh,-1,,0.6664726138114929
index ,hmh,-1,,-1
 smallest,cardinality,-1,,-1
diff,cardinality,0.21038432,,0.6664726138114929
index ,cardinality,-1,,-1
 smallest,estimator,-1,,-1
diff,estimator,0.25721556,,0.6664726138114929
index ,estimator,-1,,-1
 second,hmh,-1,,-1
smallest,hmh,-1,,0.7913682262102762
diff,hmh,-1,,0.6664726138114929
index ,hmh,-1,,-1
 second,cardinality,-1,,-1
smallest,cardinality,0.3995149,,0.7913682262102762
diff,cardinality,0.21038432,,0.6664726138114929
index ,cardinality,-1,,-1
