nome_projeto,nome_identificador,nome_classe,posicao_identificador,score
projeto, smallSketch ,CommonTests,Variavel,4.5
projeto, bigSketch ,CommonTests,Variavel,3.5
projeto, expectedJaccardIndex ,CommonTests,Variavel,2.67
projeto, expectedIntersection ,CommonTests,Variavel,7.0
projeto, actualIntersection ,CommonTests,Variavel,6.0
projeto, pctError ,CommonTests,Variavel,0.5
projeto, sketchSize ,CommonTests,Variavel,4.5
projeto, intersectionSize ,CommonTests,Variavel,5.5
projeto, sk1 ,CommonTests,Variavel,1.0
projeto, sk2 ,CommonTests,Variavel,1.0
projeto, sk3 ,CommonTests,Variavel,1.0
projeto, sk4 ,CommonTests,Variavel,1.0
projeto, expectedIntersection ,CommonTests,Variavel,7.0
projeto, actualIntersection ,CommonTests,Variavel,6.0
projeto, pctError ,CommonTests,Variavel,0.5
projeto, numIter ,CommonTests,Variavel,1.0
projeto, val ,CommonTests,Variavel,4.0
projeto, n ,CommonTests,Variavel,1.0
projeto, b ,CommonTests,Variavel,0.0
projeto, bytes ,CommonTests,For,3.0
projeto, sk1 ,CommonTests,For,1.0
projeto, sk2 ,CommonTests,For,1.0
projeto, frac ,CommonTests,For,1.0
projeto, expected ,CommonTests,For,7.0
projeto, result ,CommonTests,For,7.0
projeto, pctError ,CommonTests,For,0.5
projeto, sk1 ,CommonTests,For,1.0
projeto, sk2 ,CommonTests,For,1.0
projeto, sk3 ,CommonTests,For,1.0
projeto, sk4 ,CommonTests,For,1.0
projeto, expectedIntersection ,CommonTests,For,7.0
projeto, actualIntersection ,CommonTests,For,6.0
projeto, pctError ,CommonTests,For,0.5
projeto, val ,CommonTests,For,4.0
projeto, bytes ,CommonTests,while,3.0
projeto, exact ,CommonTests,while,7.0
projeto, res ,CommonTests,while,4.0
projeto, pctError ,CommonTests,while,0.5
projeto, exact ,CommonTests,if,7.0
projeto, res ,CommonTests,if,4.0
projeto, pctError ,CommonTests,if,0.5
projeto, sketch ,CommonTests,if,5.0
projeto, rng ,RandomTestRunner,Variavel,1.0
projeto, seed ,RandomTestRunner,Variavel,2.0
projeto, seed ,RandomTestRunner,For,2.0
projeto, sk ,TestBetaMinHash,Variavel,1.0
projeto, maxUniqueElements ,TestBetaMinHash,Variavel,4.0
projeto, minTestCardinality ,TestBetaMinHash,Variavel,1.67
projeto, pctErr ,TestBetaMinHash,Variavel,0.5
projeto, combiner ,TestBetaMinHash,Variavel,1.0
projeto, elementsPerSketch ,TestBetaMinHash,Variavel,3.67
projeto, pctErr ,TestBetaMinHash,Variavel,0.5
projeto, overlapSlices ,TestBetaMinHash,Variavel,6.5
projeto, numElementsLeftSketch ,TestBetaMinHash,Variavel,0.25
projeto, pctError ,TestBetaMinHash,Variavel,0.5
projeto, smallSetSize ,TestBetaMinHash,Variavel,3.33
projeto, bigSetSize ,TestBetaMinHash,Variavel,2.67
projeto, maxPctErr ,TestBetaMinHash,Variavel,1.67
projeto, initialIntersectionSize ,TestBetaMinHash,Variavel,5.33
projeto, initialSketchSize ,TestBetaMinHash,Variavel,4.67
projeto, numIter ,TestBetaMinHash,Variavel,1.0
projeto, maxPctErr ,TestBetaMinHash,For,1.67
projeto, serde ,TestBetaMinHashSerde,Variavel,1.0
projeto, sketch ,TestBetaMinHashSerde,Variavel,5.0
projeto, serde ,TestBetaMinHashSerde,Variavel,1.0
projeto, iterations ,TestBetaMinHashSerde,Variavel,1.0
projeto, sketch ,TestBetaMinHashSerde,Variavel,5.0
projeto, numElements ,TestBetaMinHashSerde,Variavel,0.5
projeto, serde ,TestBetaMinHashSerde,Variavel,1.0
projeto, sketch ,TestBetaMinHashSerde,Variavel,5.0
projeto, numElements ,TestBetaMinHashSerde,Variavel,0.5
projeto, bytes ,TestBetaMinHashSerde,Variavel,3.0
projeto, rawEstimates ,TestHmhCardinalityEstimator,Variavel,3.0
projeto, biases ,TestHmhCardinalityEstimator,Variavel,5.0
projeto, basicEstimate ,TestHmhCardinalityEstimator,Variavel,3.0
projeto, slope ,TestHmhCardinalityEstimator,Variavel,4.0
projeto, expectedOutput ,TestHmhCardinalityEstimator,Variavel,4.0
